127.0.0.1 - - [09/Jun/2018:11:29:54 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 14386
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:00 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_001.jpg HTTP/1.1" 200 27211
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_002.jpg HTTP/1.1" 200 20426
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/GAS_001.jpg HTTP/1.1" 200 22423
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_001.jpg HTTP/1.1" 200 50408
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_003.jpg HTTP/1.1" 200 34151
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_002.jpg HTTP/1.1" 200 45718
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_004.jpg HTTP/1.1" 200 50882
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_001.jpg HTTP/1.1" 200 41348
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_002.jpg HTTP/1.1" 200 45958
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_003.jpg HTTP/1.1" 200 41304
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_001.jpg HTTP/1.1" 200 67564
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_002.jpg HTTP/1.1" 200 51256
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_003.jpg HTTP/1.1" 200 111954
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_001.jpg HTTP/1.1" 200 57149
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_003.jpg HTTP/1.1" 200 75488
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_002.jpg HTTP/1.1" 200 46805
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
